,Unnamed: 0,0,1,2,3,4,5,6,7,8,Smis
DP-020,20,74.63333333333333,42.27222222222223,15.891666666666666,36.52777777777778,75.62222222222222,7.542222222222222,13.286111111111111,7.041666666666666,8.661111111111111,77.2678
DP-021,21,61.03333333333333,35.516666666666666,26.391666666666666,31.605555555555554,76.55555555555556,4.217777777777778,16.420555555555556,7.4527777777777775,2.805555555555556,161.298
DP-022,22,71.8111111111111,36.96111111111111,16.341666666666665,32.42777777777778,72.82222222222222,7.693333333333333,13.861666666666666,5.3694444444444445,6.8277777777777775,66.7419
DP-023,23,63.477777777777774,43.31666666666666,29.59166666666667,30.516666666666666,97.0,2.1466666666666665,10.35388888888889,7.7027777777777775,1.238888888888889,4.66237
DP-024,24,64.92222222222222,40.97222222222222,18.541666666666668,39.16111111111111,83.48888888888888,5.062222222222222,11.450555555555557,9.508333333333333,4.261111111111111,79.1292
DP-025,25,59.9,43.55,25.725,38.105555555555554,88.28888888888889,3.675555555555556,13.22388888888889,8.380555555555556,0.5277777777777778,187.596
DP-026,26,69.01111111111112,39.59444444444444,23.675,39.37222222222222,94.91111111111113,8.004444444444445,13.216111111111111,7.402777777777778,2.4166666666666665,83.0205
DP-027,27,66.5,43.86111111111112,19.325,31.78333333333333,74.5111111111111,2.3422222222222224,16.381666666666668,8.019444444444446,5.894444444444444,676.806
DP-028,28,68.85555555555555,43.172222222222224,16.775,33.92777777777778,95.3111111111111,7.684444444444445,13.768333333333334,5.513888888888889,4.805555555555555,81.5111
DP-029,29,72.43333333333334,35.62777777777778,28.041666666666668,35.19444444444444,106.86666666666667,9.995555555555557,12.998333333333331,6.747222222222222,1.1388888888888888,92.691
DP-030,30,56.7,41.96111111111111,17.275,30.47222222222222,81.4888888888889,5.231111111111111,16.58388888888889,9.080555555555556,2.6722222222222225,48.6571
DP-031,31,74.85555555555555,37.83888888888889,15.875,35.78333333333333,93.17777777777778,4.3244444444444445,16.233888888888888,9.875,8.161111111111111,491.887
DP-032,32,58.03333333333333,41.47222222222222,20.34166666666667,37.672222222222224,93.13333333333333,5.924444444444444,13.099444444444444,7.658333333333333,6.427777777777778,58.5344
DP-033,33,68.87777777777778,37.38333333333333,27.925,31.961111111111112,86.33333333333333,9.924444444444443,13.231666666666666,9.680555555555555,3.85,41.8564
DP-034,34,59.94444444444444,36.06111111111111,21.075,30.416666666666668,86.06666666666666,2.431111111111111,14.89611111111111,7.908333333333333,6.194444444444445,1036.0
DP-035,35,58.21111111111111,38.62777777777778,15.691666666666666,38.583333333333336,77.44444444444444,2.982222222222222,15.339444444444444,7.441666666666666,1.1277777777777778,202.098
DP-036,36,70.72222222222223,44.56111111111111,16.525,36.56111111111111,100.77777777777776,6.075555555555555,12.09611111111111,8.947222222222223,7.027777777777777,141.36
DP-037,37,62.388888888888886,36.727777777777774,26.19166666666667,30.261111111111116,87.75555555555556,5.808888888888889,16.871666666666666,6.380555555555556,3.3833333333333337,82.4151
DP-038,38,65.45555555555555,44.75,29.34166666666667,38.93888888888889,95.17777777777778,8.20888888888889,14.429444444444444,7.286111111111111,6.772222222222222,48.5475
DP-039,39,59.56666666666666,41.99444444444445,27.60833333333333,34.11666666666667,100.2,7.986666666666666,16.319444444444443,5.947222222222222,7.716666666666667,41.8167
DP-040,40,66.7,35.16111111111111,18.375,38.92777777777778,74.82222222222222,4.288888888888889,14.087222222222223,6.280555555555555,9.305555555555555,140.404
DP-041,41,65.63333333333334,39.583333333333336,21.175,31.55,83.0,4.075555555555556,11.069444444444445,6.208333333333333,2.8500000000000005,214.725
DP-042,42,56.477777777777774,35.07222222222222,21.34166666666667,34.483333333333334,107.44444444444444,3.551111111111111,15.417222222222222,6.891666666666667,6.550000000000001,450.01
DP-043,43,61.61111111111112,38.827777777777776,24.208333333333336,30.45,78.02222222222223,8.226666666666667,16.770555555555553,7.741666666666667,7.294444444444444,28.7038
DP-044,44,71.87777777777778,41.83888888888889,23.59166666666667,37.516666666666666,100.33333333333331,8.777777777777779,11.855,7.975,3.45,85.6222
DP-045,45,62.25555555555555,41.29444444444445,15.158333333333331,35.23888888888889,99.8,4.68,13.56611111111111,9.741666666666667,6.416666666666666,170.45
DP-046,46,63.7,44.99444444444445,24.10833333333333,39.80555555555556,86.6,8.671111111111111,11.901666666666667,6.241666666666667,8.65,32.3784
DP-047,47,68.03333333333333,35.083333333333336,24.491666666666667,34.672222222222224,96.91111111111113,5.328888888888889,12.959444444444443,8.780555555555555,1.8166666666666669,299.673
DP-048,48,71.32222222222222,39.327777777777776,17.625,33.016666666666666,74.64444444444445,4.635555555555555,12.632777777777775,7.324999999999999,8.25,168.883
DP-049,49,65.0111111111111,43.52777777777778,22.791666666666664,37.23888888888889,99.04444444444444,5.017777777777778,10.229444444444445,7.280555555555556,9.872222222222222,144.806
DP-050,50,69.85555555555555,41.76111111111111,22.875,38.09444444444445,107.13333333333333,3.471111111111111,10.307222222222222,8.73611111111111,6.783333333333333,961.383
DP-051,51,67.9,42.96111111111111,17.258333333333333,34.37222222222222,105.88888888888889,3.062222222222222,15.04388888888889,8.347222222222221,7.416666666666667,996.86
